,title,kvadratura,broj_soba,sprat,namjesten,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon,nedavno_adaptiran,details
342,"
                                                    Kvart|Stan, 98 m2, Novo Sarajevo
                                                ",44,Četverosoban (4),2,Namješten,Centralno (Plin),Prodaja,Splitska,,1980-1989,Parket,,True,True,True,True,True,,,True,True,True,05.12.2022,Sjever,True,,True,True,,True,,,True,"Kvart prodaje moderan dvoetažni stan, površine 98m2 (uknjiženo 44m2) i garažu (27m2) na Kovačićima u Splitskoj ulici, općina Novo Sarajevo. Stan je pozicioniran na II spratu stambene jedinice bez lifta.Stan je dvostrano orjentisan i izuzetno funkcionalan. Prva etaža se sastoji od ulaznog hodnika, toaleta, kuhinje sa trpezarijom, dnevnog boravka i spavaće sobe. Druga etaža (54m2) se sastoji od hodnika, dvije dječije sobe, toaleta i garderobera.Bitno je naglasiti da se nekretnina nalazi u izvrsnom stanju i da je rađena kompletna vanjska stolarija prije cca. 2 godine.Ispred stambene jedinice se nalazi parking prostor, a u sklopu jedinice je smještena garaža koja se prodaje zajedno sa stanom. Izuzetno atraktivna lokacija zbog blizine sadržaja koji doprinose kvaliteti življenja i blizina svih potrebnih sadržaja kao i gradskog saobraćaja, dječiji vrtići, supermarket “Konzum”, ugostiteljski objekti, pijaca Grbavica, apoteka, banka, Vilsonovo šetalište, shopping centri SCC i Alta.https://kvart.ba/bs/property/stan-splitska/Agent: AmelaTel:+387 61 220-446Email: amela@kvart.baKvart nekretnine d.o.o. SarajevoJosipa Štadlera 6 "
343,"
                                                    Stan 77m2 | Zamjena | Ulica Žrtava Fašizma br: 8 | Novi Grad Sarajevo
                                                ",77,Trosoban (3),3,Namješten,Centralno (gradsko),Prodaja,Žrtava Fašizma,3,1980-1989,Parket,True,True,True,,True,True,True,,True,True,,11.10.2022,Jugoistok,True,,,,,,,True,,"Stan 77m2 | Zamjena | Ulica Žrtava Fašizma br: 8 | Novi Grad Sarajevo
 
 
Lokacija nekretnine
 
Stan se nalazi u ulici Žrtava Fašifma, naselje Otoka, općina Novi Grad Sarajevo. Nekretnina se nalazi na etaži III u sambenoj zgradi sa liftom i trostrane je orjentacije sjever - jug - zapad. Po svojoj strukturi stan je trosoban. Stvarna kvadratura stana je 80m2 budući da je jedan balkon ustakljen.
Za navedeni stan postoji mogućnost zamjene kavrature od cca 40-50m2 na području od Otoke prema centru grada.
U blizini same lokacije nalaze se brojni sadržaji: tržni centar Merkur, pijaca, Osnovna škola, dječije igralište, parkovi, trgovine i ugostiteljski objekti.
Glavna gradska saobraćajnica, te stanice javnog gradskog prevoza su na udaljenosti od nekoliko minuta hoda (tramvaj, trolejbus, autobus), dok je ovaj stambeni kompleks zbog svog položaja izdvojen od gužve i buke glavne saobraćajnice.
 
Opis nekretnine
·        Kvadratura:               77m2 | trosoban
·        Sadržaj:                      Dvije spavaće sobe, dnevni boravak, kuhinja, trpezarija,
hodnik, kupatilo, wc i lođa.
·        ZK:                              1/1
·        Datum izgradnje:     Adaptiran 2010. godine
 
Nekretnina je izgrađena visokopostojanim materijalima, uz kvalitetne usluge izvođenja radova.
·        Stolarija:                     Ulazna vrata – protuprovalna
Unutrašnja stolarija – drvo
Vanjska stolarija – drvo
·        Pod:                            Kombinacija keramičke pločice / parket
 
Režijski troškovi su prilagođeni realnoj potrošnji.
·        Grijanje:                     Toplane
·        Struja:                         Standardna izvedba
·        Voda:                          Standardna izvedba
 
Dodatne instalacije omogućavaju potpunu ugodu boravka u svim godišnjim dobima.
·        Klima uređaj:                        Opcija grijanja i hlađenja
·        Priključak interneta i kablovske televizije
 
Ekstra dodatna prednost
Stan je opremljen kvalitetnim namještajem, što omogućava trenutno useljenje i boravak.
 
 
 
 
Podrška MH Prodajnog agenta
·        Obilazak i prezentacija predmetne nekretnine
·        Preporuka za eventualne izvore finansiranja
·        Asistencija pri obradi dokumentacije
·        Preporuka za pravnu i notarsku podršku
 
Agencija MH nekretnine su Vaš partner pri rješavanju jedne od osnovnih životnih potreba – pronalaska optimalnog doma za Vašu porodicu! Uz Vas smo od trenutka odluke za kupovinu do samog sretnog useljenja!
 
 
Cijena predmetne nekretnine:    240.000KM
 
 
MH nekretnine
Dovoljan je samo potpis!
 
Kontaktirajte nas za više informacija ili dodatni savjet:
MH nekretnine
A:         Branislava Nušića 158A
T:         033 868 709
M:        061 148 031 Certificirani agent Mersiha
@:       info@mhnekretnine.ba
W:       www.mhnekretnine.ba"
344,"
                                                    Kvart|Stan, 185m2, Stari Grad
                                                ",200,Petosoban i više,2,Namješten,Centralno (Plin),Prodaja,Obala Kulina bana,,Prije 1950,Parket,,,True,True,True,True,,,True,True,,11.02.2022,Jug,True,False,True,True,,True,,,,"KVART prodaje stan salonskog tipa površine cca 200 m2 na drugom katu stambene zgrade iz Austrougarskog perioda. Stan se nalazi na Obali Kulina bana. Stambeni prostor se sastoji od ulaznog hodnika i predsoblja, 2 dnevna boravka, radne sobe, dječije sobe, spavaće sobe, WC-a, kupatila sa WC-om, kuhinje sa trpezarijom, i ostave. Bitno je napomenuti da su u stanu promijenjene i ugrađene potpuno nove elektro i vodoinstalacije, kao i nova stolarija s tim da je zadržan ambijentalni unutrašnji i vanjski izgled. Izuzetno atraktivna lokacija koju karakteriše dostupnost svih bitnijih sadržaja za život. Ova nekretnina pruža fantastične mogućnosti za porodične i poslovne ljude koji će je na najbolji način iskoristiti. Prednost ove nekretnine je što posjeduje vlastitu garažu i vanjsko parking mjesto.﻿Salonski stan, Obala – KvartAgent: ZlatanTel: +387 62/180-107Email: zlatan@kvart.baKvart nekretnine d.o.o. SarajevoJosipa Štadlera 6"
345,"
                                                    AD COMPANY prodaje: stan Istočno Sarajevo 74m2 (1301)
                                                ",72,Trosoban (3),1,Namješten,Centralno (Kotlovnica),Prodaja,Ravangorska,,2015+,Parket,True,True,True,True,True,,True,True,True,True,True,24.03.2023,,True,,,,,,,True,,"BROJ OGLASA: 1301AD COMPANY prodaje stan u Istočnom Sarajevu, na adresi Ravnogorska.Stan je površine 74m2, prodaje se namješten. Stan se nalazi na prvom spratu u stambenoj zgradi koja posjeduje lift. Po strukturi je trosoban, također stan posjeduje i balkon sa lijepim pogledom.Sastoji se od:-dnevnog boravka,-kuhinja,-trepezarija,-dvije spavaće sobe,-dva kupatila,-hodnika, -balkon.Ispred zgrade se nalazi parking.Grijanje u stanu: kotlovnica, koliko se potroši, toliko se plati, po potrošnji je sve.Stambena zgrada se nalazi u mirnom i lijepom naselju.Kontakt telefon: 062 942 270NAPOMENA:Navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije.Prodajete ili iznajmljujete Vašu nekretninu? Postanite dio uspješne priče.Kontaktirajte nas danas: 062 942 270"
346,"
                                                    AD COMPANY prodaje: Stan - Grbavica (1285)
                                                ",62,Trosoban (3),6,Namješten,Struja,Prodaja,Grbavička,,,Laminat,True,True,True,True,True,,True,,True,,True,10.03.2023,,True,,,,,,,True,,"BROJ OGLASA: 1285AD COMPANY prodaje stan površine 63m2 u ulici Grbavička, naselje Grbavica. Smješten je na 6. spratu stambene zgrade koja se nalazi u neposrednoj blizini Vilsonovog šetališta, kao i svih ostalih neophodnih sadržaja (supermarketi, banka, apoteka, pekara, stanice, javnog gradskog prevoza itd). Također, na udaljenosti od nekoliko minuta hoda nalaze se i tržni centri “Importane”, “Alta”, “SCC”, Vilsonovo šetalište, te nekoliko srednjih škola i fakulteta. Stan je također u blizini gradskog prijevoza.Stan se sastoji od:-hodnika, -kuhinje sa trpezarijom, -dnevnog boravka, -dvije spavaće sobe, -balkona, ostave, -kupatila i -wc-a. Vanjska stolarija je PVC, dok je nutrašnja stolarija drvena.Pod je parket, laminat i keramika. Grijanje u stanu je na struju, ali postoji mogućnost i uvođenja plina. SVE INFORMACIJE AD COMPANY 062/942-270                                                      NAPOMENA:Navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije. Prodajete ili iznajmljujete Vašu nekretninu? Postanite dio uspješne priče. Kontaktirajte nas danas: 062/942-270"
347,"
                                                    Stan - Centar Sarajevo - Višnjik- 83 m2 - Prodaja
                                                ",83,Trosoban (3),3,Namješten,Plin,Prodaja,,,,Parket,True,,True,True,True,,,,True,True,True,27.01.2023,,True,,True,,,,,True,,"Sarajevo Real Estate Neira Babić je ovlašteni posrednik upisan u Registar posrednika u prometu nekretninama - 05-04-32-UTOvlašteni agent: Neira BabićŽelite saznati više o ovoj ili drugim nekretninama iz naše ponude, posjetite www.sarajevo-realestate.comStan - Centar Sarajevo - Višnjik- 83 m2 - ProdajaKratki opis Prodaje se stan u izvornom stanju, površine 83 metra kvadratna, u poznatom sarajevskom naselju Višnjik. Stan se nalazi na trećem spratu zgrade bez lifta. Stan se sastoji od dnevnog boravka, dvije trpezarije, dvije kuhinje, dvije spavaće sobe,dva kupatila, dva ulazna hola. Ono što je bitno naglasiti za ovaj stan je to da postoji mogućnost da se stan fizički odvoji, jer ima dva ulaza - te bi se odvajanjem dobila dva stana. Stan posjeduje etažno plinsko grijanje i izlaz na balkon. NapomenaNavedena tražena cijena predstavlja traženu cijenu za predmetnu nekretninu definisanu posredničkim ugovorom. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od tražene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije.Više informacija i termin za uvid u stanje nekretnine možete dobiti vlastiti na zahtjev.﻿Kontakt telefon:061 445 887Web: https://www.sarajevo-realestate.com/e-mail: info@sarajevo-realestate.comFacebook  InstagramYouTube   Neira Babić since 1996..."
348,"
                                                    Novogradnja/Jednoiposoban stan/PARKING/Novi Grad
                                                ",34,Jednoiposoban (1.5),3,Namješten,Centralno (Plin),Prodaja,Karla Mijića,,,Parket,,True,True,True,True,True,True,True,True,True,True,08.05.2023,Jugozapad,True,False,,,True,,,,True,"SIGENX prodaje jednoiposoban stan u novogradnji, ulica Karla Mijića, općina Novi Grad, naselje Nedžarići. Navedena nekretnina se nalazi na 4.spratu stambene zgrade i ukupne je površine 36m2. Raspored je veoma funkcionalan prostorije koje čine stan su: ulazni hodnik, kupatilo, spavaća soba, dnevni boravak sa kuhinjom.. Grijanje je plinsko etažno, sopstveni kalometar za regulisanje potrošnje. Stan je odmah useljiv, potrebno je samo krečenje. Sve instalacije grijanja, vode i struje su ispravne, nema potrebe za radovima, prodaje se sa svim namještajem i stvarima kao na slikama.Posjeduje klima uređaj, nove PVC prozore, parket na podovima,blindirana vrata… Boravak u stanu je miran i ugodan, osunčan je, jednostrano orijentisan i ima prelijep otvoren pogled. Stambena zgrada je uredna i redovno se održava,posjeduje lift,videonadzor,vanjska rasvijeta, otključavanje na kartice, garaže..Napravljena 2015.godine od kvalitetnih materijala što se pokazalo dosadašnjim boravkom i korištenjem stanara. Bitno je napomenuti da se ispred objekta nalazi parking prostor za stanare zgrade isti se reguliše električnom rampom, STANU PRIPADA PARKING MJESTO! Lokacijski pozicioniran izvrsno, posjeduje kompletnu infrastrukturu i sve neophodne stvari za svakodnevne potrebe. U neposrednoj blizini gradski saobraćaj, park, škola, marketi, ugostiteljski objekti, vjerski objekti, parking prostor, sve u krugu od 200m. Smatramo nekretninu odličnom ponudom zbog kvadrature i rasporeda.Vlasništvo uredno 1/1.Više informacija, kao i dogovor obilaska nekretnine možete dogovoriti pozivom na kontakt osobe zadužen za ovu nekretninu.CIJENA: 135.000 KM             Info:  062 61 93 61  Nedžad          nedzad_lj@hotmail.comwww.sigenx.com                               info@sigenx.com                                           www.sigenx.comCertificirani agent posredovanja NEDŽAD LJAJIĆBroj licence: 01.01.1-90/22Kontakt: + 387 62 619 361Agencija SIGENX upisana u Registar posrednika u prometu nekretninaBroj: 54/2023Prodajete nekretninu? Javite se još danas našoj Agenciji i možda odmah pronađemo kupca za istu !Za kompletnu ponudu Agencije SIGENX posjetite našu stranicu ili kontaktirajte nas putem telefona.Ako želite kupiti ili prodati stan i to samo za jedan dan, a da ne napravite kiks dođite u SIGENX.26 GODINA SA VAMAwww.sigenx.cominfo@sigenx.comTel: 033/654-793Sarajevo 71000, Kemala Kapetanovića 34 - Grbavica.  www.sigenx.cominfo@sigenx.comTel: 033/654-793Sarajevo 71000, Kemala Kapetanovića 34 - Grbavica."
349,"
                                                    BNpro nekretnine / Stan u prizemlju / Hrasno
                                                ",74,Trosoban (3),Prizemlje,Namješten,Plin,Prodaja,Olovska,,,Laminat,,,True,,True,,,,True,True,,26.08.2022,,True,,True,True,,,,,,"BNpro nekretnine prodaje trosoban stan u naselju Hrasno, u neposrednoj blizini Pekare AS.Stan se prostire na 74m2 i sastoji se od: manje kuhinje, hodnika sa trpezarijom, dvije spavaće sobe, dnevnog boravka i kupatila. Stan posjeduje unutrašnje i vanjske roletne, što nudi dodatnu privatnost i sigurnost. Ispred zgrade je obezbjeđen parking za jedno vozilo, dok se u okolici zgrade uvijek može naći još jedno parking mjesto. Stan se prodaje namješten. U blizini stana se nalazi pekara, market, trolejbuska stanica, apoteka, dok je osnovna škola udaljena samo 8 minuta hoda.CIJENA NEKRETNINE: 190.000,00 KM﻿Cijena nije fixna.Za sva pitanja i dogovor oko posjete nekretnini stojimo Vam na raspolaganjuKontaktirajte nas na broj telefona +387 62 547 496 ili na e-mail: aida@bnpro.baNAPOMENA:Navedena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije."
350,"
                                                    Stan Sarajevo - Centar 37m2
                                                ",37,Jednosoban (1),Prizemlje,Namješten,Centralno (gradsko),Prodaja,Patriotske lige,,,,,True,True,True,True,True,,,True,True,True,19.06.2023,,True,,,,,,True,,True,"„Cicko nekretnine“ prodaju jednosoban stan sa garažom u Sarajevu koji se nalazi u općini Centar, naselje Koševo u ulici Patriotske lige. Lokacija stana je jako dobra i povezana sa gradskim prevozom. U neposrednoj blizini se nalazi Univerzitetski klinički centar Sarajevo, zatim fakulteti Medicina, Stomatologija, Farmacija, Arhitektura, Građevina, Sporta i fizičkog odgoja. Na lokaciji ili u neposrednoj blizini se nalaze i drugi sadržaji neophodni za normalan život i stanovanje. Predmet prodaje jeste jednosoban stan površine 37 m2 koji se nalazi u prizemlju zgrade. Stan je dvostrano orijentisan a sastoji se od predsoblja, velikog dnevnog boravka, kuhinje sa trpezarijom i kupatila sa wc-om. Stan je nedavno kompletno renoviran, od grijanja, instalacije jake i slabe struje, vodovod i kanalizacija, stolarija unutrašnja i vanjska.... Stan je kompletno i lijepo namješten tj. bez dodatnih ulaganja. Grijanje u stanu je centralno (Toplane stanica u suterenu zgrade), u hodniku, kupatilu i kuhinji je urađeno podno grijanje a u dnevnom boravku su radijatori. Vanjska stolarija je PVC sa urađenom dodatnom zaštitom (metalne grilje) koje daju dodatnu sigurnost, iako stan ima i dodatnu zaštitu sa alarmnim sistemom. Uz stan se nalazi i garaža površine 12,5 m2 koja se nazi ispred zgrade u nizu sa drugim garažama. Vlasništvo čisto i odmah prevodivo na budućeg kupca, stan i garaža se prodaju u kompletu.Cijena 190.000 KM!"
351,"
                                                    Trosoban stan Prodaja Novogradnja Ilidža Sarajevo
                                                ",85,Trosoban (3),6,Namješten,Struja,Prodaja,Hrasnička cesta,,2015+,Parket,,True,True,True,True,True,True,True,True,True,True,07.02.2023,Sjeveroistok,True,,,,,,,,,"Pažljivo čitajte, jer nudimo nešto luksuzno, posebno, izuzetno, nešto što se zaista rijetko nađe na tržištu!
U prilici ste da postanete vlasnik jednog ili više potpuno novih apartmana na Ilidži, vrhunski građenih, ukusno i luksuzno namještenih, unikatno pozicioniranih – s prekrasnim pogledom na rijeku.
Na podovima su, zavisno od prostorije, parket i keramika najvišeg kvaliteta, stolarija je prvoklasna, a grijanje termo-blokovi. Svaka soba svakog apartmana posjeduje Mitsubishi inverter klima uređaj!
Apartmani se nalaze u izuzetno održavanoj i sigurnoj zgradi, ispred koje ima i sasvim dovoljno parking mjesta za sve stanare. Osim toga, riječ je o najljepšoj i najmirnijoj ilidžanskoj lokaciji, nadomak Velike aleje.
U ponudi su:
1.       Dvosobni stanovi površine 42 m2, koji posjeduju: hodnik, kupatilo, open-space dnevni boravak, s trpezarijom i kuhinjom, te spavaću sobu. Cijena: 5850 KM po kvadratu. 
2.       Trosobni stanovi površine 85 m2, koji posjeduju sve što i dvosobni, uz još jednu spavaću sobu i dodatni toalet. Osim toga, sve prostorije su šire i prostranije. Cijena: 5800 KM po kvadratu. 
3.       Jedan četverosoban stan površine 120 m2. Cijena: 5700 KM po kvadratu.
Za dodatne informacije i obilazak, pozovite našeg Harisa na: 063 142 100.
Vaša Rental porodica!"
352,"
                                                    Dvosoban stan Prodaja Novogradnja Ilidža Sarajevo
                                                ",42,Dvosoban (2),1,Namješten,Struja,Prodaja,Hrasnička cesta,,2015+,Parket,,True,True,True,True,True,True,True,True,True,True,07.02.2023,Sjeveroistok,True,,,,,,,,,"Pažljivo čitajte, jer nudimo nešto luksuzno, posebno, izuzetno, nešto što se zaista rijetko nađe na tržištu!
U prilici ste da postanete vlasnik jednog ili više potpuno novih apartmana na Ilidži, vrhunski građenih, ukusno i luksuzno namještenih, unikatno pozicioniranih – s prekrasnim pogledom na rijeku.
Na podovima su, zavisno od prostorije, parket i keramika najvišeg kvaliteta, stolarija je prvoklasna, a grijanje termo-blokovi. Svaka soba svakog apartmana posjeduje Mitsubishi inverter klima uređaj!
Apartmani se nalaze u izuzetno održavanoj i sigurnoj zgradi, ispred koje ima i sasvim dovoljno parking mjesta za sve stanare. Osim toga, riječ je o najljepšoj i najmirnijoj ilidžanskoj lokaciji, nadomak Velike aleje.
U ponudi su:
1.       Dvosobni stanovi površine 42 m2, koji posjeduju: hodnik, kupatilo, open-space dnevni boravak, s trpezarijom i kuhinjom, te spavaću sobu. Cijena: 5850 KM po kvadratu.
2.       Trosobni stanovi površine 85 m2, koji posjeduju sve što i dvosobni, uz još jednu spavaću sobu i dodatni toalet. Osim toga, sve prostorije su šire i prostranije. Cijena: 5800 KM po kvadratu. 
3.       Jedan četverosoban stan površine 120 m2. Cijena: 5700 KM po kvadratu.
 
Za dodatne informacije i obilazak, pozovite našeg Harisa na: 063 142 100.
Vaša Rental porodica!"
353,"
                                                    DVOSOBAN STAN  ČENGIĆ VILA I
                                                ",52,Dvosoban (2),4,Namješten,Centralno (gradsko),Prodaja,Džemala Bijedića,3,1970-1979,Parket,True,True,,,True,,True,,True,True,,17.01.2023,Jugoistok,True,,,True,,True,,True,True,"DVOSOBAN STAN  ČENGIĆ VILA I
Dvosoban stan top renoviran i namješten odlične spratnosti (četvrtom sprat od 8 spratova) sa liftom, u ulici Džemala Bijedića, uknjižene površine 52 m² + 3 m2 (zatvorena lođa) vlasnik bi mijenjao za veći stan ili kuću u istom ili sličnom stanju. Osnovna karakteristika je lijep, funkcionalan raspored, gdje su sve prostorije prostrane i lijepo povezane. Stan se sastoji od dnevne sobe, kuhinje, jedne spavaće sobe, hodnika, ostave, zatvorene lođe,  wc-a i pripadajućeg podrumskog prostora. Grijajanje je centralno gradsko. Podovi, uglavnom parket u odličnom stanju, laminat u kuhinji, keramika u WC i ostavi. U stanu su promijenjeni vanjski pvc prozori, blindo vrata, elektro i vodovodne instalacije. Stan je okrečen, očišćen i namješten.
Lokacija je odlična. U neposrednoj blizini je tramvajska pruga, nova reprezentativna zgrada Capital Tower, sa puno restorana, kafića i trgovina, a u blizini je Osnovna škola Čengić Vila 1. U blizini se nalaze također Dom zdravlja, ljekarske ordinacije, apoteke, puno zelenila, obdaništa, džamija i baš sve nephodno za svakodnevni život čovjeka.
Ispred zgrade se nalazi parking.
Vlasništvo 1/1, stan uknjižen.
 ZAMJENA ZA VEĆI STAN ILI KUĆU   Sve informacije možete dobiti na slijedeće brojeve telefona:
 +387 61 789 345 +387 62 88 66 76
+387 62 619 302
 
e-mail: nekretnine.custovic@gmail.com
„NEKRETNINE ČUSTOVIĆ“ Ferde Hauptmana br. 7 71000 Sarajevo
 
NAPOMENA: Navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca kojeg vlasnik odabere uz posredovanje agencije.
 "
354,"
                                                    CASA MIA Trosoban stan 70m2  / Aerodromsko naselje
                                                ",70,Trosoban (3),2,Namješten,Centralno (Plin),Prodaja,Akifa Šeremeta,,1980-1989,Parket,True,,True,True,True,,,,True,True,True,31.05.2023,Zapad,True,,True,True,,,,True,,"CASA MIA Nekretnine prodaju trosoban stan 70 m2, Akifa Šeremeta, Aerodromsko naselje, Novi Grad.Broj:15P/2023Dvoetažni trosoban stan, pozicioniran na drugom zadnjem spratu stambene zgrade.Prva etaža se sastoji od ulaznog hodnika, kuhinje sa trpezarijom, dnevnog boravka, kupatila i balkona, te se unutrašnjim stepenicama izlazi na drugu etažu , koja se sastoji od predsoblja, dvije spavaće sobe, kupatila i balkona.Stan je jednostrane zapadne orijentacije.Pod parket, laminat i keramika.Stolarija unutrašnja i vanjska drvena.Grijanje plinsko etažno.Stan je u proteklom periodu adaptiran, useljiv je i prodaje se sa kompletnim namještajem.Cijena: 195,000 KMCijena m2: 2.785 KMCASA MIA NekretnineDžemala Bijedića 33Sarajevo 71000+387 61 191 631info@casamianekretnine.bawww.casamianekretnine.baBroj registra posrednika 56/2023"
355,"
                                                    Trosoban stan prodaja Centar Sarajevo
                                                ",64,Trosoban (3),4,Namješten,Centralno (Plin),Prodaja,Jadranska,4,,Parket,True,True,True,True,True,,,,True,True,True,24.05.2023,,True,,True,,,,,True,,"Prodajemo fantastičan dvostrano orijentiran trosoban stan u Jadranskoj ulici, između Radićeve i Pravnog fakulteta.Stan se nalazi na 4. spratu odlično održavane zgrade, uknjižen je na 64 kvadrata ali dodavanjem jednog od dva balkona u stambeni prostor stana kvadratura je povećana na cca 70 kvadrata. Potpuno opremljen i namješten, ovaj stan je idealan izbor ukoliko se u Sarajevu želite baviti rentijerskim poslom. Ili želite živjeti u srcu bh. prijestolnice? Bolje ne može. Vanjska stolarija je ganc nova, a na podovima kvalitetan parket.Grijanje je centralno etažno plinsko.Cijena ove nekretnine iznosi 320.000 KM. Za više detalja te termine obilaska nekretnine pozovite Almu na broj 061 803 796."
356,"
                                                    Stan Ilidža 59m2
                                                ",59,Dvosoban (2),5,Namješten,Centralno (Plin),Prodaja,HIFZI BJELEVCA 44 STUP ILIDZA,,2000-2009,Parket,True,True,True,True,True,True,True,,True,True,True,17.06.2023,,True,False,True,True,,True,,True,,"Detaljni opis. Dvosoban stan 60m2 / Stup - Ilidža Prodaje se ( moze zamjena za Tuzlu )  dvosoban stan, površine 60 m2 +2  balkon,sa garazom  na V spratu u zgradi sa liftom, u ulici Hifzi Bjelevca 44 , naselje Stup, općina Ilidža, Sarajevo.Isti se sastoji od hodnika, kupatila, spavace sobe sa izlazom na balkon pogled Igman, kuhinje sa trpezarijom i prostranim dnevnim boravkom sa izlaskom na prednji balkon pogedom na Sarajevo  . Stan posjeduje ostavu površine 3 m2 u tavanskom dijelu zgrade.Stambena zgrada se nalazi neposredno uz dzamiju , tramvajsku liniju, a sama lokacija je atraktivna zbog blizine sadržaja koji doprinose kvaliteti življenja, u blizini se nalazi supermarket konzum , brojni ugostiteljski objekti, apoteka, ambulanta, pijaca, banka, itd.Napomena:-na podovima u dnevnom boravku postavljen je kvaltetni parket-unutrašnja drvena stolarija-keramičke pločice u kupatilu, kuhinji -vanjska stolarija je PVC                                                                                                                                                          - blinda vrata-grijanje centralno plinsko -Stan posjeduje odličnu dispoziciju prostorija, otvoren pogled.Napomena: U cijenu stana ostaje kompletan namještaj. Pitanja na tel.061087167 Resid  ili porukama  hvala."
357,"
                                                    Apartman/Stan na Jahorini
                                                ",42,Dvosoban (2),2,Namješten,Struja,Prodaja,,,2020+,Parket,,,,,True,True,True,True,True,True,True,06.02.2023,,True,,,,,,,,,"❄ PRODAJA - STAN/APARTMAN NA JAHORINI
❄OLIMPIJSKA BB
❄ENERGETSKI RAZRED A
❄IZGRADJEN 2021. GODINE
❄POVRŠINA 42 m²

⛷Apartman se nalazi u luksuznom objektu Jahorinska vila, u neposrednoj blizini skijaške staze, pokraj gondole Partizan. Pored vile je veliki javni parking i glavna cesta. 
⛷Apartman ima odvojenu spavaću sobu i posjeduje sistem grijanja sa daljinskim upravljanjem i senzorima pokreta
✳ Pogodan za izdavanje!
✳ U Jahorinskaj vili se nalaze zajednicke prostorije, koje su na raspolaganju vlasnicima: skijašnica, vešeraj sa mašinama za pranje veša, zajednička prostorija za odmor i rekreaciju i SPA u izradi.

CIJENA: 291.000 KM

KONTAKT
Diana 066/710-588
Boris 065/403-491"
358,"
                                                    Stan Sarajevo - Centar
                                                ",28,Jednosoban (1),Visoko prizemlje,Namješten,Centralno (Plin),Prodaja,,,,Ostalo,,True,True,True,True,,,,True,True,True,21.01.2023,,True,,True,True,,True,True,,True,"Prodajem poslovni prostor/studio apartman uknjižen na 27m2, stvarnih 32m2. Prostor je vrhunski adaptiran i namješten i pripremljen za luksuzno izdavanje na dan. Grijanje je centralno plinsko podno . Rezervna varijanta je elektricni konvektori. Sastoji se od dnevnog boravka, spavace sobe, čajne kuhinje, kupatila i wc. U cijenu ulazi kompletan  namjestaj u stanu.  Namjestaj je nov, star tri mjeseca .  
Tel.061.134-588. 
Na poruke telefonske ne odgovaram."
359,"
                                                    Stan Sarajevo - Centar
                                                ",28,Jednosoban (1),Visoko prizemlje,Namješten,Centralno (Plin),Prodaja,,,,Ostalo,,True,True,True,True,,,,True,True,True,21.01.2023,,True,,True,True,,True,True,,True,"Prodajem poslovni prostor/studio apartman uknjižen na 27m2, stvarnih 32m2. Prostor je vrhunski adaptiran i namješten i pripremljen za luksuzno izdavanje na dan. Grijanje je centralno plinsko podno . Rezervna varijanta je elektricni konvektori. Sastoji se od dnevnog boravka, spavace sobe, čajne kuhinje, kupatila i wc. U cijenu ulazi kompletan  namjestaj u stanu.  Namjestaj je nov, star tri mjeseca .  
Tel.061.134-588. 
Na poruke telefonske ne odgovaram."
