Unnamed: 0,title,cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon.1,nedavno_adaptiran,details
161,"
                                                    EBTA Invest / Dvosoban stan / Novi Grad / 58m2
                                                ",205.000 KM,58.0,Dvosoban (2),3,Namješten,Renoviran,Plin,Prodaja,"Adema Bućr br. 76, Novi Grad, Sarajevo",4.52,2000-2009,Parket,True,True,True,True,True,,True,,True,,True,05.05.2023,Jugoistok,,False,True,True,,,,True,True,"EBTA Invest prodaje dvosoban stan površine 58,48 m², u stambenoj zgradi izgrađenoj u periodu od 2000-20009. godine, na adresi Adema Buće, naselje Buća potok, Sarajevo. Stan se nalazi na trećem spratu zgrade sa liftom, sastoji se od prostranog dnevnog boravka sa trpezarijom i kuhinjom, spavaće sobe, hodnika, kupatila i balkona.Vanjska stolarija je očuvana i dobro izolirana, ulazna vrata su sigurnosna, blindirana. Podovi su obloženi parketom  i keramičkim pločicama u izvrsnom stanju. Grijanje je plinsko sa plinskim boilerom instarianim u kupatilu, što omogućava kontrolisanu potrošnju energije, rezultirajući pouzdan i ekonomičan način zagrijavanja. Dodatni uticaj na zagrijavanje ima odlična orijentacija stana - jugoistok.Zgrada ima šest spratova te je opremljena sigurnosnim uređajima poput  alarmnog sistema i protupožarne zaštite. Takođe zgrada je projektovana stručno sa dodatnim rampama i čistim prilaznim sekvencama kako bi se omogućio i olakšao pristup osobama sa invaliditetom.  Ispred zgrade se nalazi zajednički parking prostor za stanare koji uvijek nudi dovoljno dostupnih parking mjesta. Na ulazu zgrade se nalazi manji park za odmor i relaksaciju.Opis lokacije:Stan je pozicioniran u opštini Novi Grad, ulica Adema Buće,na trećem spratu zgrade sa liftom.Lokacija je pozicionirana u mirnom kraju, pogodnom za porodični život, stambena zgrada naslanja na jednu od glavnih transferzala, samim tim komunikacija sa ostatkom grada je odlična. U krugu od oko jednog kilometra nalaze se različite pogodnosti, uključujući veće markete, pekare, vrtiće, kafiće, restorane, teretane, pumpe i drugo.Zgrada je udaljena oko 5 minuta laganog hoda od glavne gradske saobraćajnice i javnog gradskog prijevoza.Predonosti:Odlična i očuvana gradnjaLiftOrijentacija stanaGrijanje sa plinskim boileromMirna lokacija pogodna za porodicuZajednički parkingDječije igralište Dodatne informacijeU cijenu su uračunati sanitarije u kupatilu i ugradbeni elementi poput kuhinje rađene po mjeri i ormara u hodniku, dok za dio namještaja postoji mogućnost dogovora. Sve zainteresovane kupce pozivamo da nas kontaktiraju na broj telefona +387 60 359 63 27 (Viber/WhatsApp) i zakažu obilazak nekretnine. Uz našu stručnost i profesionalnost, možete biti sigurni da ćemo u Vašem interesu pokušati postići najbolju moguću cijenu ili uvjete. Želimo Vam pružiti najbolju moguću uslugu, stoga smo uvijek spremni odgovoriti na Vaša pitanja. Javite nam se već danas i saznajte više!"
162,"
                                                    Jednosoban stan 32 m2 - Novi Grad Sarajevo
                                                ",99.000 KM,32.0,Jednosoban (1),2,Namješten,Dobro stanje,Centralno (gradsko),Prodaja,,,,Parket,,True,True,True,True,,,,True,,True,05.06.2023,Jugoistok,True,,,,,,,,,"Jednosoban stan 33 m2, Novi Grad - Svrakino selo

+387 62 876 000

cdnekretnine@outlook.com


Opis nekretnine:

jednosoban stan povrsine 33 m2 na 2. spratu stambene zgrade u ulici Majdanska, Novi Grad - Svrakino selo. Sastoji se od ulaznog hodnika, dnevnog boravka ( sobe ), odvojene kuhinje sa prostranom trpezarijom i kupatila.

Standard:

grijanje: centralno gradskoulazna vrata: blindopodne obloge: parketorijentacija: jugoistok

Lokacija:

stan se nalazi na 2.spratu stambene zgrade u ulici Majdanska, Svrakino selo - Novi Grad. Neposredna blizina javnog gradskog prevoza, supermarketa, poste, banke i ostalih sadrzaja."
163,"
                                                    Stan Sarajevo - Novi Grad
                                                ",Na upit,81.0,Četverosoban (4),Visoko prizemlje,Namješten,Renoviran,Centralno (gradsko),Prodaja,,,,,True,True,True,True,,,True,,,,,28.06.2023,,,,,,,,,True,,"Prodajem stan Saraj polje ,renoviran ,"
164,"
                                                    Prodaja ili Zamjena stana u Sarajevu za stan u Neumu
                                                ",170.000 KM,34.0,Jednoiposoban (1.5),1,Namješten,Renoviran,Plin,Prodaja,Zaima Šarca,0.0,,Parket,,True,,True,True,,,,True,True,True,22.01.2023,,True,,True,,True,,True,,True,Zamjena stana u Sarajevu za stan u Neumu. Isključivo zvati na broj telefona 061-481-522.
165,"
                                                    dvosoban stan
                                                ",Na upit,55.0,Dvosoban (2),3,Namješten,,Centralno (Plin),Prodaja,,6.0,,Parket,True,True,,,True,,,,True,True,True,18.10.2022,Jugozapad,True,,True,True,,,,True,,"Otes. Treći sprat (predzadnji). Ustakljen balkon. Prije 7-8 godina postavljena termo-fasada (1ocm). Ispred grade uvijek dovoljno prostora za parking vozila. Stanu pripada i podrumska prostorija (4-5 m2)Ne prodajem. Mijenjam za četverosoban stan na Ilidži, uz nadoplatu razlike u vrijednosti."
166,"
                                                    Sarajevo Tower dvosoban moderno namješten stan + garaza
                                                ",349.000 KM,61.0,Dvosoban (2),20+,Namješten,,Centralno (Kotlovnica),Prodaja,,6.0,,,,,,,,,True,,True,True,True,11.03.2023,,True,,,,True,,,,,"Prodaje se dvosoban potpuno nov stan površine 61m2 u zgradi Sarajevo Tower na 24 spratu zgrade. Iz stana se pruza prelijep pogled na grad. Sastoji se od ulaznog hodnika, kupatila, spavaće sobe, dnevni boravak sa kuhinjom i trpezarijom i lođe. Posjeduje i garazno mjesto u sklopu stana. 
Top lokacija. U blizini su Vilsonovo šetalište, hotel Bristol, Hitna pomoć, Mercator, tramvajska stanica.
CIJENA 349000 KM SA GARAŽOM I SVIM NAMJEŠTAJEM KOJI JE NOV!
062 856 215"
167,"
                                                    Trosoban stan - Centar - Mejtaš - 71 m2
                                                ",259.150 KM,71.0,Trosoban (3),Visoko prizemlje,Namješten,,Centralno (Plin),Prodaja,Dola,,1960-1969,Laminat,,,True,True,True,,,,,,True,22.05.2023,Istok,True,,True,,,,,,,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 062 854 547E-mail: dino@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/trosoban-stan-centar-mejtas-71-m2/CITY Nekretnine ekskluzivno prodaje trosoban namješten stan u općini Centar, naselje Mejtaš, ukupne površine 71 m2.Stan se nalazi na visokom prizemlju (u stvarnosti visina prvog sprata, ispod istog se nalazi drugi stan) manje stambene zgrade u ulici Dola, naselje Mejtaš, općina Centar. U neposrednoj blizini zgrade nalazi se supermarket, cvjećara, pekara, Srednja medicinska škola, Međunarodna Njemačka škola, International Montessori House, taxi stajalište, ulica Dalmatinska, a svega par minuta hoda je udaljen od centra grada, kao i drugih mnogobrojnih sadržaja koji su karakteristični za ovu lokaciju.Kvadratura stana iznosi 71 m2, po strukturi je trosoban, primarne istočne orjentacije.Stan posjeduje:- Dnevni boravak- Kuhinju i trpezariju- Glavnu spavaću sobu- Drugu spavaću ili dječiju sobu- Kupatilo- Hodnik- Centralno grijanje - etažno - plin- Klima uređaj- Vanjsku i unutrašnju drvenu stolariju- Priključke za telefon, kablovsku televiziju i internet- Parking - privatni ispred zgrade za stanare- Dvorište - baštu iza zgrade sa zidanim roštiljemCIJENA: 259.150 KM"
168,"
                                                    Dvosoban stan - Stari Grad - Ferhadija - 57 m2
                                                ",342.000 KM,57.0,Dvosoban (2),4,Namješten,Renoviran,Centralno (Plin),Prodaja,Vladislava Skarića,,1950-1959,Parket,,True,True,True,,True,,,,,True,23.03.2023,Istok,True,False,True,,,,,,True,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 061 398 581E-mail: berin@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/dvosoban-stan-stari-grad-vladislava-skarica-57-m2/CITY Nekretnine ekskluzivno prodaje dvosoban adaptiran stan u najužem centru grada, ulica Ferhadija, ukupne površine 57 m2.Stan se nalazi na četvrtom spratu stambene zgrade bez lifta u ulici Vladislava Skarića, općina Stari grad. Obzirom na ovu centralnu gradsku lokaciju u neposrednoj blizini stana nalazi se pješačka zona, ul.Ferhadija, Ferhadija džamija, hotel Europa, caffe bar, restoran, banka, taxi stajalište, kao i drugi mnogobrojni sadržaji koji su karakteristični za ovu centralnu gradsku lokaciju.Kvadratura stana iznosi 57 m2, po strukturi je dvosoban, dvostrane orjentacije istok - sjever.Stan posjeduje:- Dnevni boravak - Kuhinju i trpezariju- Spavaću sobu- Kupatilo- Hodnik- Centralno grijanje - etažno - plin- Klima uređaj- Blindirana vrata, interfon- Vanjsku aluminijsku stolariju i unutrašnju drvenu stolariju- Priključke telefona, kablovske televizije i interneta- Terasu - balkon na koji se izlazi iz haustora zgrade (zajednički)CIJENA: 342.000 KM"
169,"
                                                    Sarajevo - Izvrsna investicija 50m2 !!!
                                                ",355.000 KM,50.0,Trosoban (3),6,Namješten,Renoviran,Centralno (Plin),Prodaja,,,,Parket,,True,True,True,True,True,True,True,True,True,True,17.06.2023,,True,,True,True,,True,True,,True,"Na prodaju specifična nekretnina, vrhunska investicija, rijetkost na tržištu. Nalazi se na najatraktivnijoj lokaciji u strogom centru grada, u blizini Sarajevske katedrale, kod Estrade. Orijentacija je izvrsna sa prelijepim pogledom na stari dio Sarajeva. Stan je potpuno adaptiran prije 5 mjeseci sa najmodernijim i najkvalitetnijim materijalima (prozori, vrata, kupatilo, alarm, klima, LAN/UTP, detektroz za dim, instalacije..). Prodaje se namješten kako se vidi na slikama i sve je novo. Sastoji se od dnevnog boravka, kuhinje sa Bosch uređajima, dvije spavaće sobe, hodnika, kupatila, kao i ostave. Ulaz u stan elektronska brava kao i na ključ. Nije zadnji sprat. Zgrada posjeduje moderan lift. Obzirom na ovu centralnu gradsku lokaciju u neposrednoj blizini stana nalazi se pješačka zona, ul. Ferhadija, Ferhadija džamija, hotel Europa, caffe bar, restoran, banka, taxi stajalište, kao i drugi mnogobrojni sadržaji koji su karakteristični za ovu centralnu gradsku lokaciju. Više info. na broj +387 61 161 599"
170,"
                                                    Prodaja nov trosoban stan Aleja Ilidža 69m2 Novogradnja
                                                ",283.000 KM,69.0,Trosoban (3),1,Namješten,Renoviran,Centralno (gradsko),Prodaja,"Ilidža, Sarajevo",,2020+,Parket,True,True,True,True,True,True,True,True,True,True,True,18.05.2023,,True,,,,True,,True,True,True,"Stanpromet.ba - agencija za nekretnine iz ponude za prodaju izdvaja novo namješten trosoban stan Naselje Ilidža, u neposrednoj blizini velike Aleje.Stan se nalazi u Sarajevu, opština Ilidža.Trosoban stan, ukupne površine 69m2, pozicioniran je na prvom spratu novonapravljene stambene zgrade.Sastoji se od ulaznog hodnika, dnevnog boravka sa trpezarijom i kuhinjom, balkona, dvije spavaće sobe i tri kupatila.Vanjska stolarija je PVC, unutrašnja drvena, na podovima je postavljen parket.Stan se prodaje namješten (stanje kao na slikama).Na LINKU možete pogledati naš 360° virtualni prikaz stana.Za sve dodatne informacije pozovite Vašeg agenta za nekretnine!Certificirana agencija za nekretnine Stanpromet.ba NekretnineRegistarski broj posrednika 001/2022!Grbavička 8b, 71000 SarajevoAgent Hadis Kadić+38762830830agencija@stanpromet.ba"
171,"
                                                    Velešići- Novo Sarajevo jednosoban namješten stan 37m2
                                                ",99.999 KM,37.0,Jednosoban (1),1,Namješten,,Centralno (Plin),Prodaja,,,,,,,,,,,,,,,,06.03.2023,,,,,,,,,,,"Prodaje se jednosoban namješten stan površine 37 m2 u naselju Velesici u ulici Muhameda ef. Pamte na 1 spratu manje stambene zgrade.
Grijanje plinsko etažno. Stan je u jako dobrom stanju. 
CIJENA 102000 KM- nova cijena 99999 KM"
172,"
                                                    Luksuzno opremljen 4-soban 90m2 stan Kovacici, Sarajevo
                                                ",395.900 KM,88.0,Četverosoban (4),2,Namješten,Novogradnja,Plin,Prodaja,,,2015+,Parket,True,True,True,True,True,True,,,True,True,True,03.11.2022,,True,,True,True,,True,,True,,"Stan je u potpunosti visokokvaliteno (skupocjeno) opremljen.U cijenu uracunato 1x parking mjesto i 1x garaza.Ako imate ozbiljnog interesa i zadovoljavajuci bonitet, ostavite poruku sa Vasim punim kontakt-podacima da Vam se mogu javiti i dostaviti vise informacija i slika."
173,"
                                                    MIJENJAM MANJU GARSONJERU
                                                ",Na upit,0.0,Garsonjera,Visoko prizemlje,Namješten,Renoviran,Centralno (gradsko),Prodaja,,,1970-1979,Parket,,True,True,True,True,,True,,True,True,True,18.08.2022,Istok,True,,,True,,,,,,"Mijenjam manju
garsonjeru  za veću uz moju dooplatu po dogovoru, može da bude i na većoj
spratnosti, garsonjera je na lijepoj lokaciji Malta, Istočno je
pozicionirana, u potpunosti adaptirana, namještena  i
utopljena. Garsonjera je na visokom prižemlju,ispod garsonjere je adaptiran stan. Zamjena se vrši isključivo na
lokaciji Novo Sarajevo. Prednost ima lokacija: Malta, Čengić Vila I ,
Socijalno,  Pofalići (ravni dio) i  Hrsno."
174,"
                                                    Garsonjera naselje Bulevar
                                                ",148.000 KM,30.0,Garsonjera,1,Namješten,Novogradnja,Centralno (Kotlovnica),Prodaja,,,2020+,,True,True,,,,,True,,True,True,,25.06.2023,,True,,,,,,,True,,"Prodaje se namjestena garsonjera u naselju Bulevar.-Stan posjeduje opremljeno kupatilo,hodnik, dnevni boravak (ugao, ormar i komoda za tv), kuhinja (sa ugradbenom plocom za kuhanje i napom) i balkon.Na balkonskim vratima su ugradjene vanjske alu roletne.-Centralno grijanje (vlastiti kalorimetar), takodjer, posjeduje i klimu. -Režijski troškovi su veoma niski.-Stan je pogodan za iznajmljivanje.-Parking mjesto je moguce iznajmiti u garazi ispod zgrade.Za detaljne informacije i obilazak stana javiti se na kontakt telefon "
175,"
                                                    TOTAL PRO / Dvosoban stan 60m2 / Stup - Ilidža
                                                ",191.000 KM,60.0,Dvosoban (2),5,Namješten,,Centralno (Plin),Prodaja,,2.0,2000-2009,Parket,True,True,True,True,True,,True,,True,True,True,25.05.2023,,True,,True,True,True,,,True,,"TOTAL PRO / Dvosoban stan 60m2 / Stup - Ilidža Prodaje se dvostrano orjentisan dvosoban stan, površine 60 m2 + balkon, na V spratu u zgradi sa liftom, u ulici Hifzi Bjelevca, naselje Stup, općina Ilidža, Sarajevo.Isti se sastoji od hodnika, kupatila, spavace sobe sa izlazom na balkon, kuhinje sa trpezarijom i prostranim dnevnim boravkom. Stan posjeduje ostavu površine 3 m2 u tavanskom dijelu zgrade.Stambena zgrada se nalazi neposredno uz tramvajsku liniju, a sama lokacija je atraktivna zbog blizine sadržaja koji doprinose kvaliteti življenja, u blizini se nalazi supermarket Bingo, brojni ugostiteljski objekti, apoteka, ambulanta, pijaca, banka, itd.Standard:na podovima u dnevnom boravku postavljen je kvaltetni hrastov parket-unutrašnja drvena stolarija-keramičke pločice u kupatilu, kuhinji i predsoblju-vanjska stolarija je drvena-grijanje centralno plinsko gradsko sa kalometrom-Video nadzor/LiftStan posjeduje odličnu dispoziciju prostorija, otvoren pogled.Napomena: U cijenu stana ostaje kompletan namještaj i oprema.TOTAL PRO NEKRETNINEMerhemica trg 15🔗 www.totalpronekretnine.ba 👉 aktuelna ponuda nekretnina📨 totalpro.realestate@gmail.com📞 062 337 945Broj registra: 20/2022"
176,"
                                                    Stan Sarajevo Grbavica
                                                ",299.000 KM,57.0,Četverosoban (4),12,Namješten,Renoviran,Centralno (gradsko),Prodaja,,,1980-1989,Laminat,,True,True,True,,True,True,,,,True,16.05.2023,,True,,,,,,,,True,"Stan na Grbavici pored grbavica pijace i peper moon restroana.Jedinstven stan na ovoj lokaciji,licna prodaja1/1061 193 783"
177,"
                                                    Trosoban stan od 89m2, Pejton, Ilidža
                                                ",185.000 KM,89.0,Trosoban (3),1,Namješten,Renoviran,Centralno (Plin),Prodaja,Bosanskih gazija,,1980-1989,Parket,True,True,True,True,True,,,,True,True,True,20.01.2021,Jugoistok,True,,True,,,,,True,True,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022) oglašava za prodaju adaptiran, trosoban stan uknjižene površine 89m2 na prvom spratu manje stambene zgrade u ulici Bosanskih gazija u Pejtonu, Ilidža. KontaktNaida ĆerimagićAgent za nekretnineMob:   +387 61 903 569E-mail: naida@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:     +387 33 265 645Fax:    +387 33 265 646Web:   topnekretnine.ba"
178,"
                                                    Dvosoban stan od 62m2 u ulici Olovska, Hrasno
                                                ",189.000 KM,62.0,Dvosoban (2),2,Namješten,,Centralno (Plin),Prodaja,,0.0,1970-1979,Laminat,True,,True,True,True,True,,,True,True,True,27.10.2022,Ostalo,True,,True,True,,True,,True,,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022) oglašava za prodaju funkcionalan, dvosoban stan od 62m2  sa balkonom, na drugom spratu manje stambene zgrade, u ulici Olovska, naselje Hrasno.KontaktNaida ĆerimagićAgent za nekretnineMob:   +387 61 903 569E-mail: naida@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:     +387 33 265 645Fax:    +387 33 265 646Web:   topnekretnine.ba"
179,"
                                                    Trosoban stan od 77m2 sa lođom, Alipašino polje.
                                                ",199.000 KM,77.0,Trosoban (3),7,Namješten,,Centralno (gradsko),Prodaja,Ive Andrića,2.0,,,,,True,True,True,,True,,True,True,True,23.09.2022,,True,,,,,,,,,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022) oglašava za prodaju prostran, trosoban stan sa lođom od 77m2 na 7. spratu nebodera u ulici Ive Andrića, naselje Alipašino polje A faza.KontaktNaida ĆerimagićAgent za nekretnineMob:   +387 61 903 569E-mail: naida@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:     +387 33 265 645Fax:    +387 33 265 646Web:   topnekretnine.ba"
180,"
                                                    Renoviran jednosoban stan od 42m2 u ulici Koševo
                                                ",147.000 KM,42.0,Jednosoban (1),5,Namješten,Renoviran,Centralno (Plin),Prodaja,Koševo,,1950-1959,Parket,,True,,True,True,,,,True,True,True,23.09.2021,Zapad,True,,True,,,,,,True,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022) oglašava za prodaju, renoviran, jednosoban stan od 42m2 na 5. spratu stambene zgrade u ul. Koševo u blizini Druge gimnazije.KontaktNaida ĆerimagićAgent za nekretnineMob:   +387 61 903 569E-mail: naida@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:     +387 33 265 645Fax:    +387 33 265 646Web:   topnekretnine.ba"
181,"
                                                    Trosoban stan od 94m2 sa balkonom, Ilidža
                                                ",255.000 KM,94.0,Trosoban (3),2,Namješten,,Centralno (Plin),Prodaja,Emira Bogunića-Čarlija,,,,True,True,True,True,True,True,,,True,True,True,21.06.2022,,True,,True,True,,True,,True,,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022) oglašava za prodaju prostran, četverosoban stan od 94m2 sa balkonom, na 2. spratu manje stambene zgrade u ulici Emira Bogunića-Čarlija, na Ilidži.KontaktEdin DelićAgent za nekretnineMob:    +387 61 800 069E-mail: agencija@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:      +387 33 265 645Fax:     +387 33 265 646Web:    topnekretnine.ba"
182,"
                                                    Dvosoban stan od 54m2 sa izlazom na baštu, Dobrinja 1
                                                ",Na upit,54.0,Dvosoban (2),Prizemlje,Namješten,,Centralno (gradsko),Prodaja,Miroslava Krleže,,1980-1989,,,,,,True,,,,True,True,,11.10.2022,Sjeverozapad,True,,True,,,,,,,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022) oglašava za prodaju lijep, dvosoban stan od 54m2 u prizemlju stambene zgrade u ulici Miroslava Krleže, naselje Dobrinja 1.KontaktNaida ĆerimagićAgent za nekretnineMob:   +387 61 903-569E-mail: naida@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:     +387 33 265 645Fax:    +387 33 265 646Web:   topnekretnine.ba"
183,"
                                                    Prostran trosoban stan od 81m2, Kovačići
                                                ",279.000 KM,81.0,Trosoban (3),1,Namješten,,Centralno (Plin),Prodaja,Emerika Bluma,,1980-1989,,,,True,True,True,,,,True,True,,12.04.2022,,True,,,,,,,,,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022) oglašava za prodaju, prostoran, trosoban stan uknjižene površine 81m2 na prvom spratu stambene zgrade na Kovačićima.KontaktNaida ĆerimagićAgent za nekretnineMob:   +387 61 903 569E-mail: naida@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:     +387 33 265 645Fax:    +387 33 265 646Web:   topnekretnine.ba"
184,"
                                                    Trosoban stan od 82m2, kod pijace Markale
                                                ",Na upit,82.0,Trosoban (3),4,Namješten,,Centralno (Plin),Prodaja,Dženetića čikma,,1960-1969,Parket,,True,True,True,True,True,,,True,True,True,20.05.2022,Jug,True,,True,,,True,,,,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022) oglašava  za prodaju prelijep, trosoban stan od 82m2 sa lođom od cca 20m2, na 4. spratu stambene zgrade koja ima lift, u ulici Dženetića čikma u blizini pijace Markale.KontaktNaida ĆerimagićAgent za nekretnineMob:   +387 61 903 569E-mail: naida@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:     +387 33 265 645Fax:    +387 33 265 646Web:   topnekretnine.ba"
185,"
                                                    Dvosoban stan Alifakovac/Stari Grad 61 m2
                                                ",189.000 KM,61.0,Dvosoban (2),3,Namješten,Dobro stanje,Centralno (Plin),Prodaja,Maguda,,,Parket,,,,,,,,,,,,27.06.2023,,,,,,,,,,,"OPIS NEKRETNINE:Prodaje se dvosoban stan površine 61 m2 ( stvarna kvadratura 70 m2) na trećem spratu austrougarske stambene zgrade bez lifta u ulici Maguda, naselje Alifakovac, općina Stari Grad.Stan se sastoji od hodnika, kuhinje, kupatila, dnevnog boravka sa trpezarijom, dvije spavaće sobe.LOKACIJA:Stan se nalazi na trećem spratu austrougarske stambene zgrade bez lifta u ulici Maguda, naselje Alifakovac, općina Stari Grad.Lokacija je vrlo atraktivna,nalazi se iznad Inat kuće, pet minuta od Baščaršije. U neposrednoj blizini se nalaze i svi ostali sadržaji neophodni za stanovanje.STANDARD:Grijanje je centralno plinsko. Stan je kompletno renoviran, sve instalacije struje, vode i plina su nove postavljenje 2012.godine. Pod je parket i keramika. Prozori su drveni Kontinental, unutrašnja stolarija je drvena. Blindo ulazna vrata.NAPOMENA:Navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije.Za sva dodatna pitanja smo Vam na raspolaganju.NEX NEKRETNINE d.o.o.Registarski broj posrednika 12/2022🏠 Stupska 19B, Sarajevo☎️ 061 500 554📩 nekretnine.nex@gmail.com       🌐 http://www.nekretninenex.ba       "
186,"
                                                    Pro Cost- Stan Ilidža 74m2
                                                ",222.000 KM,74.0,Trosoban (3),6,Namješten,Novogradnja,Centralno (gradsko),Prodaja,,5.0,2010+,Parket,True,True,True,True,True,True,True,,True,True,True,11.05.2023,,True,,,,,,,True,,"≈ PRODAJE SE ≈
TROSOBAN STAN 74 m² SA BALKONOM, VI SPRAT
ULICA DR.MUSTAFE PINTOLA
OPĆINA ILIDŽA, SARAJEVO
Prodaje se trosoban stan u samom centru Ilidže u ulici Dr.Mustafe Pintola, općina Ilidža. Stan je pozicioniran na šestom spratu stambeno – poslovne zgrade koja posjeduje lift.
Uknjižena kvadratura je 74 m² te se sastoji od ulaznog hodnika/predsoblja, kuhinje, trpezarije i komfornog dnevnog boravka sa izlazom na balkon, zatim dvije spavaće sobe od kojih jedna ima izlaz na veliki balkon, kupatila i toaleta . Grijanje u stanu je centralno gradsko. Ulazna vrata su blindirana, a na podu je postavljen bukov parket u spavaćoj sobi, hodniku, trpezariji, dnevnom boravku, laminat u drugoj spavaćoj sobi, te keramika u kupatilu, kuhinji i na balkonu.
Vanjska stolarija je PVC ( visoki prozori u kombinaciji sa balkonom), unutrašnja je drvena. Stan posjeduje internet, kablovsku TV,kao i telefonski priključak, interfon. Godina izgradnje zgrade u kojoj se stan nalazi je 2011.
Primarna orijentacija je sjevero - istok, te je stan dobro osvijetljen prirodnom svjetlošću tokom cijelog dana. U odličnom je stanju, uredno održavan. Najvažnije odlike stana se ogledaju u dobroj spratnosti, orijentaciji, funkcionalnim prostorijama i kvalitetna gradnja. Prodaje se namješten kao i sa svim ugradbenim plakarima i kuhinjom. Hodnik je centralno pozicioniran i savršeno je iskorišten prostor za postavljanje plakara. Odlična je komunikacija između prostorija a neuobičajen modernistički koncept definiše stan.                Postoji mogućnost kupnje ili najma parking mjesta unutar zgrade.
Zbog odlične lokacije, stan je idealan za investiciju kratkoročnog /dugoročnog iznajmljivanja. U blizini zgrade se nalaze: restorani, kafići, banke, apoteke, zelena pijaca, razni marketi i tržni centri, Dom zdravlja Ilidža, opština Ilidža, škole, javni prijevoz, gdje je odlična saobraćajna povezanost, a na samo 10 min šetnje nalazi se Termalna rivijera Ilidža i IUS.
Cijena: 222.000 KM
Sve ostale informacije možete dobiti na kontakt tel:
+ 387 60 316 6031; + 387 61 835 959
Certificirana agencija za posredovanje u prometu nekretnina
PRO COST NEKRETNINE
Registarski broj posrednika: 81/2023
Džemala Bijedića 279H, 
Email: procostrealestate@gmail.com Web: www.procostnekretnine.ba
Želite prodati ili iznajmiti Vašu nekretninu uz najbržu realizaciju? Javite nam se na gore navedene brojeve telefona!
VAŠ PRO COST TIM!"
187,"
                                                    Stan Trnovo 37.95m2
                                                ",230.000 KM,37.95,Dvosoban (2),1,Namješten,Novogradnja,Struja,Prodaja,Babin do,,2015+,Parket,,True,,True,True,True,True,,True,True,True,27.06.2023,Jugoistok,True,,,True,,True,,,,"U najkvalitetnije izgrađenoj zgradi na Bjelašnici prodaje se po strukturi dvosoban kompletno, ukusno i kvalitetno opremljen apartman ukupne površine 37,95 m2. Apartman se nalazi na I (prvom) spratu u zgradi od III sprata.  Apartman se sastoji od dnevnog boravka sa kuhinjom i trpezarijom, hodnikom, spavaćom sobom te kupatila sa wc-om.Ulaskom u stan je dnevni boravak sa kuhinjom i trpezarijom, sa otvorenim pogledom prema trgu i Hotelu Han. Dnevni boravak je pun svjetla i veoma ugodan i prijatan za boravak, u produžetku je kupatilo sa wc-om, te spavaća soba sa ugrađenim američkim plakarom.  Blindirana vrat, lamelni parket, grijanje struja, klima, lift, povezanost stana sa garažom, video interfon, predulaz u zgradu, čuvan parking.U izgradnji ove zgrade korišteni su veoma kvalitetni materijali, kao i u završnim radovima u samim Apartmanima. Trespa fasada, grafitni stiropor, vanjska stolarija Schuco, povezanost lifta sa garažom, skijašnica na etaži garaža, malo stanara u zgradi, veliki trg isprad zgrade, te parking za goste.Cijena kompletno namještenog stana sa skijašnicom je 230000.oo KM.Cijena garaže uz stan je 30000,oo KM"
